,ts,MAPE
801,0.12,0.2423539702998465
490,0.23,0.24235310603767657
515,0.48,0.2423494391955818
984,0.17,0.24234885374957268
702,0.92,0.2423481551498766
761,0.11,0.2423458466417897
104,0.37,0.24234310918047944
580,0.78,0.24233650153701025
79,0.94,0.24233577858276767
475,0.4,0.24232413850752155
565,0.39,0.24232303905697203
933,0.37,0.2423227407812892
257,0.44,0.2423177246966287
992,0.46,0.24231660142016162
967,0.12,0.24231607918984868
771,0.59,0.24231566969459192
876,0.82,0.2423143512916359
940,0.69,0.24231419282100253
129,0.39,0.24231407795516144
361,0.94,0.24231200591033858
251,0.28,0.24231076298904583
484,0.28,0.2423030646329822
643,0.11,0.242299201427309
249,0.14,0.24229913303435835
877,0.34,0.24229134111455236
372,0.2,0.24228431283515592
624,0.87,0.242283635844496
519,0.13,0.2422835033148597
422,0.19,0.242281409612988
635,0.05,0.24227882722577254
832,0.53,0.24227837169032237
404,0.91,0.2422737124566639
70,0.15,0.24227366817597873
890,0.88,0.24226853933427853
49,0.76,0.2422684527988499
640,0.82,0.2422659497244584
358,0.9,0.2422657686099744
477,0.1,0.24226502220841
295,0.26,0.24226391881152567
228,0.92,0.24226051017244138
766,0.33,0.2422600653703185
841,0.39,0.24225972443994692
808,0.39,0.24225770233591729
891,0.47,0.242256937384746
395,0.17,0.24225576110597477
757,0.2,0.24225393911127774
344,0.81,0.2422515007854334
271,0.88,0.2422504631191989
153,0.09,0.24224854509576
138,0.69,0.24224160081009002
578,0.64,0.2422357210565051
531,0.31,0.24223485794244884
641,0.93,0.24222834051867498
999,0.17,0.24222313067337448
824,0.38,0.242221754479122
939,0.08,0.242219280442214
918,0.74,0.24221788148144455
9,0.65,0.24221551912904993
772,0.19,0.2422148881405321
473,0.24,0.2422055515042846
855,0.31,0.2422026381157613
382,0.24,0.24220224008077257
997,0.72,0.2422007913415384
10,0.74,0.2421984931119362
803,0.49,0.24219664813886782
905,0.31,0.24219605368149186
232,0.22,0.24219396270592228
717,0.07,0.24219371887953242
982,0.28,0.24218649006522525
752,0.76,0.24218436297984808
544,0.78,0.24218266288444418
171,0.58,0.24218044974859965
713,0.5,0.24218000236738366
944,0.71,0.2421795032325187
868,0.34,0.24217668544770296
875,0.44,0.24217507871629498
383,0.56,0.24217485263265764
694,0.46,0.24217175938923113
637,0.84,0.2421711984367822
118,0.52,0.2421669794995816
166,0.32,0.2421668860478923
487,0.87,0.2421655107559127
401,0.9,0.24216520811446776
979,0.4,0.24216504385445012
974,0.27,0.24215989224282927
173,0.62,0.24215867974907254
241,0.58,0.2421578662450355
614,0.19,0.242152873324114
215,0.53,0.24215229866363577
853,0.88,0.2421508749796921
502,0.51,0.24215027442762616
290,0.43,0.24215009868479528
659,0.59,0.24215007503256578
548,0.31,0.24214869414169748
634,0.8,0.2421472301642486
758,0.3,0.2421450035853661
243,0.08,0.24214498254064967
607,0.17,0.24214424249869185
381,0.64,0.24214223049662695
262,0.68,0.24214222030636467
788,0.39,0.2421409172882776
126,0.81,0.24213964989496004
837,0.42,0.24213919034826545
770,0.76,0.24213914948844406
106,0.4,0.24213830931708766
224,0.94,0.24213665363670556
893,0.81,0.24213645889521523
857,0.56,0.24213594812271994
210,0.86,0.2421355023844086
826,0.49,0.2421346103200871
746,0.35,0.24213392543866338
539,0.6,0.24213246193674084
683,0.35,0.24213068251529157
156,0.5,0.24213067268043198
814,0.38,0.24212784440217225
742,0.21,0.2421267355960645
461,0.54,0.2421245357511487
292,0.64,0.24212236011687194
988,0.32,0.24212049851911632
796,0.41,0.24211551431893405
417,0.19,0.2421101375792222
133,0.94,0.24210825793639829
211,0.56,0.24210636206383465
25,0.6,0.2421022179850533
261,0.94,0.2421021946953256
306,0.28,0.24210106083278454
123,0.16,0.24210081552381632
970,0.78,0.24210045030209645
103,0.43,0.2420993238459485
846,0.76,0.2420992797191509
583,0.16,0.24208989198186276
322,0.75,0.24208865291574594
707,0.66,0.24208856251297167
725,0.49,0.24208710608169895
